sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
178,18,178,"Z.P.H Gujarati Kanya Kelavani Mandal Metriculation School,No.5 Narayana Lane, Park Town Chennai-600003.","1 - Park Town Ward No 59 Fenfield Esplanade Road
2 - Park Town Ward No 59 Astapujam Lane ( Plat Form Dwellers )
3 - Park Town Ward No 59 Ratan Bazzar ( Plat Form Dwellers )
4 - Park Town Ward No 59 Narayanappan Street
5 - Park Town Ward No 59 Nainiyappa ( N ) Street 999 - Overseas Elector",All Voters
179,18,179,"Ab Parekh Gujarati Vidya mandir Hr. Sec.School, No.19 EK Agraharam Street,ParkTown Chennai-600003.","1 - Park Town Ward No 59 Subramaniya Abboy Laneh
2 - Park Town Ward No 59 Venkatachalam Street
3 - Park Town Ward No 59 Raghu Nayakkalu Street
4 - Park Town Ward No 59 Iyya Street
5 - Park Town Ward No 59 Venkatachalam Lane
6 - Park Town Ward No 59 Narayanan Lane",All Voters
180,18,180,"Kendriya Vidhyalaya, Block 1, Island Ground, Annasalai, Chennai - 600002.","1 - Annasalai Ward No 59 Sathiyavani Muthu Nagar Slum ( East Canal River Salai ' A ' Block Door No 1 To 250 )
2 - Annasalai Ward No 59 Pallavan Nagar ( Annasalai )
3 - Annasalai Ward No 59 Pallavan Nagar ( Annasalai )
4 - Annasalai Ward No.59 Body Guard Lane.
5 - Annasalai New Ward No 59, Body Guard Lane.",All Voters
181,18,181,"Kendriya Vidhyalaya, Block 1, Island Ground, Annasalai, Chennai - 600002.","1 - Annasalai Ward No 59 Sathiyavani Muthu Nagar Slum ( East Canal River Salai ' B ' Block Full )
2 - Annasalai Ward No 59 Sathiyavani Muthu Nagar Slum ( East Canal
River Salai 'A' Block Door No 251 To 300 )",All Voters
182,18,182,"Kendriya Vidhyalaya, Block 1, Island Ground, Annasalai, Chennai - 600002.",1 - Annasalai Ward No 59 Gandhi Nagar East Coovam River Salai ' C ' Block Full Door No ( 1 To 215 ),All Voters
183,18,183,"Kendriya Vidhyalaya, Block 1, Island Ground, Annasalai, Chennai - 600002.",1 - Annasalai Ward No 59 Gandhi Nagar East Coovam River Salai ' C ' Block Full Door No ( 216 To 1138 ),All Voters
184,18,184,"Kendriya Vidhyalaya, Block 1, Island Ground, Annasalai, Chennai - 600002.",1 - Annasalai Ward No 59 East Coovam River ( Huts ) ( Sathiyavani Muthu Nagar ) & ( Door No 301 To 602 ),All Voters
185,18,185,"Kendriya Vidhyalaya, Block 1, Island Ground, Annasalai, Chennai - 600002.","1 - Annasalai Ward No 59 Gandhi Nagar Coovam Side Huts Pallavan Salai ' E ' Block Full
2 - Annasalai Ward No 59 Gandhi Nagar Coovam Side Huts Pallavan
Salai ' D ' Block Full",All Voters
186,18,186,"Kendriya Vidhyalaya, Block 1, Island Ground, Annasalai, Chennai - 600002.","1 - Annasalai Ward No 59 Sathiyavani Muthu Nagar Huts ( Pallavan Salai
)
999 - Overseas Elector",All Voters
187,18,187,"Government Muslim Higher Secondary School, No:71, Thayar (S) Street, Anna Salai, Chennai - 600002.","1 - Annasalai Ward No 59 Government Estate ' A ' Block
2 - Annasalai Ward No 59 Government Estate ' C ' Block
3 - Annasalai Ward No 59 Government Estate ' I ' Block
4 - Annasalai Ward No 59 Government Estate ' K ' Block
5 - Annasalai Ward No 59 Nallathambi Street
6 - Annasalai Ward No 59 Gulam Muthusha Street
7 - Annasalai Ward No 59 Thippu Street
8 - Annasalai Ward No 59 Muktharunissa Begum 6th Lane
9 - Annasalai Ward No 59 Muktharunissa Street",All Voters
188,18,188,"Government Muslim Higher Secondary School, (D D E 1st Year Room West Side) No.71, Thayar (S) Street, Anna Salai, Chennai - 600002","1 - Annasalai Ward No 59 Muktharunissa 7th Lane
2 - Annasalai Ward No 59 Muktharunissa 3rd Lane
3 - Annasalai Ward No 59 Ellispuram Huts
4 - Annasalai Ward No 59 Ellispuram Road 1st Lane
5 - Annasalai Ward No 59 Ellispuram Road Door No ( 1 To 79 )",All Voters
189,18,189,"Government Muslim Higher Secondary School, No:71, Thayar (S) Street, Anna Salai, Chennai - 600002.","1 - Annasalai Ward No 59 Owlia Street
2 - Annasalai Ward No 59 Owlia 1st Lane
3 - Annasalai Ward No 59 Owlia 2nd Lane
4 - Annasalai Ward No 59 Owlia 3rd Lane
5 - Annasalai Ward No 59 Owlia 7th Lane
6 - Annasalai Ward No 59 Owlia 8th Lane
7 - Annasalai Ward No 59 Owlia 4th & 5th Lane
8 - Annasalai Ward No 59 Owlia 6th Lane
9 - Annasalai Ward No 59 Annasamy Street & Lane",All Voters
190,18,190,"Government Muslim Higher Secondary School, No:71, Thayar (S) Street, Anna Salai, Chennai - 600002.","1 - Annasalai Ward No 59 Muktharunissa 5th Lane
2 - Annasalai Ward No 59 Muktharunissa 4th Lane
3 - Annasalai Ward No 59 Muktharunissa 1st Lane
4 - Annasalai Ward No 59 Muktharunissa 2nd Lane
5 - Annasalai Ward No 59 Barbar Aggan Street
6 - Annasalai Ward No 59 Bangaru Street Door No ( 1 To 42 )
""7 - Annasalai Ward No 59 Walaja Salai & I.G.Quarters Door No Old No ( 32 To 51
)""
8 - Annasalai Ward No 59 Narayana Ariahand Flats ( Walaja Road )",All Voters
191,18,191,"Government Muslim Higher Secondary School, No:71, Thayar (S) Street, Anna Salai, Chennai - 600002.","1 - Annasalai Ward No 59 Thayar Street
2 - Annasalai Ward No 59 Thayar Street 1st Lane
3 - Annasalai Ward No 59 Thayar Street 2nd Lane",All Voters
192,18,192,"Government Muslim Higher Secondary School, No:71, Thayar (S) Street, Anna Salai, Chennai - 600002.","1 - Annasalai Ward No 59 Balamuthu Street
2 - Annasalai Ward No 59 Unnis Ali Street
3 - Annasalai Ward No 59 Unnis Ali 1st & 2nd Lane",All Voters
